name,type,value,date
姚琛,,246699,19:39:52
翟潇闻,,291728,19:39:52
张颜齐,,249132,19:39:52
刘也,,72657,19:39:52
任豪,,98907,19:39:52
赵磊,,192238,19:39:52
赵让,,67987,19:39:52
a,,441847,19:49:51
b,,253097,19:49:51
焉栩嘉,,330833,19:49:51
夏之光,,363803,19:49:51
姚琛,,246700,19:49:51
翟潇闻,,291775,19:49:51
张颜齐,,249136,19:49:51
刘也,,72657,19:49:51
任豪,,98907,19:49:51
赵磊,,192272,19:49:51
赵让,,67988,19:49:51
a,,442353,19:59:52
b,,253099,19:59:52
焉栩嘉,,330852,19:59:52
夏之光,,363831,19:59:52
姚琛,,246700,19:59:52
翟潇闻,,291833,19:59:52
张颜齐,,249137,19:59:52
刘也,,72657,19:59:52
任豪,,98907,19:59:52
赵磊,,193393,19:59:52
赵让,,67988,19:59:52
a,,442708,20:09:51
b,,253099,20:09:51
焉栩嘉,,330862,20:09:51
夏之光,,363853,20:09:51
姚琛,,246700,20:09:51
翟潇闻,,291950,20:09:51
张颜齐,,249144,20:09:51
刘也,,72659,20:09:51
任豪,,98907,20:09:51
赵磊,,193569,20:09:51
赵让,,67988,20:09:51
a,,442832,20:19:51
b,,253101,20:19:51
焉栩嘉,,330869,20:19:51
夏之光,,364279,20:19:51
姚琛,,246700,20:19:51
翟潇闻,,291999,20:19:51
张颜齐,,249195,20:19:51
刘也,,72659,20:19:51
任豪,,98907,20:19:51
赵磊,,193680,20:19:51
赵让,,67988,20:19:51
a,,443057,20:29:51
b,,253101,20:29:51
焉栩嘉,,330886,20:29:51
夏之光,,364356,20:29:51
姚琛,,246700,20:29:51
翟潇闻,,292041,20:29:51
张颜齐,,249192,20:29:51
刘也,,72659,20:29:51
任豪,,98912,20:29:51
赵磊,,193762,20:29:51
赵让,,67988,20:29:51
a,,443378,20:39:51
b,,253101,20:39:51
焉栩嘉,,330893,20:39:51
夏之光,,364516,20:39:51
姚琛,,246700,20:39:51
翟潇闻,,292064,20:39:51
张颜齐,,249193,20:39:51
刘也,,72659,20:39:51
任豪,,98912,20:39:51
赵磊,,193865,20:39:51
赵让,,67988,20:39:51
a,,444042,20:49:51
b,,253101,20:49:51
焉栩嘉,,330923,20:49:51
夏之光,,364613,20:49:51
姚琛,,246700,20:49:51
翟潇闻,,292092,20:49:51
张颜齐,,249197,20:49:51
刘也,,72659,20:49:51
任豪,,98912,20:49:51
赵磊,,193911,20:49:51
赵让,,67990,20:49:51
a,,444295,20:59:51
b,,253101,20:59:51
焉栩嘉,,330952,20:59:51
夏之光,,364662,20:59:51
姚琛,,246700,20:59:51
翟潇闻,,292161,20:59:51
张颜齐,,249200,20:59:51
刘也,,72624,20:59:51
任豪,,98912,20:59:51
赵磊,,194596,20:59:51
赵让,,67990,20:59:51
a,,444424,21:09:51
b,,253101,21:09:51
焉栩嘉,,330973,21:09:51
夏之光,,365083,21:09:51
姚琛,,246700,21:09:51
翟潇闻,,292259,21:09:51
张颜齐,,249201,21:09:51
刘也,,72624,21:09:51
任豪,,98912,21:09:51
赵磊,,194681,21:09:51
赵让,,67990,21:09:51
a,,444485,21:19:51
b,,253101,21:19:51
焉栩嘉,,330988,21:19:51
夏之光,,367956,21:19:51
姚琛,,246700,21:19:51
翟潇闻,,292263,21:19:51
张颜齐,,249201,21:19:51
刘也,,72627,21:19:51
任豪,,98912,21:19:51
赵磊,,195732,21:19:51
赵让,,67990,21:19:51
a,,444532,21:29:52
b,,253101,21:29:52
焉栩嘉,,331015,21:29:52
夏之光,,368144,21:29:52
姚琛,,246705,21:29:52
翟潇闻,,292322,21:29:52
张颜齐,,249201,21:29:52
刘也,,72627,21:29:52
任豪,,98912,21:29:52
赵磊,,196866,21:29:52
赵让,,67990,21:29:52
a,,444778,21:39:52
b,,253101,21:39:52
焉栩嘉,,331081,21:39:52
夏之光,,368229,21:39:52
姚琛,,246705,21:39:52
翟潇闻,,292781,21:39:52
张颜齐,,249201,21:39:52
刘也,,72627,21:39:52
任豪,,98912,21:39:52
赵磊,,196924,21:39:52
赵让,,67990,21:39:52
a,,444872,21:49:51
b,,253101,21:49:51
焉栩嘉,,331096,21:49:51
夏之光,,368394,21:49:51
姚琛,,246705,21:49:51
翟潇闻,,292835,21:49:51
张颜齐,,250902,21:49:51
刘也,,72627,21:49:51
任豪,,98912,21:49:51
赵磊,,197006,21:49:51
赵让,,67990,21:49:51
a,,444916,21:59:52
b,,253101,21:59:52
焉栩嘉,,331125,21:59:52
夏之光,,368484,21:59:52
姚琛,,246705,21:59:52
翟潇闻,,292864,21:59:52
张颜齐,,250902,21:59:52
刘也,,72627,21:59:52
任豪,,98912,21:59:52
赵磊,,197108,21:59:52
赵让,,67991,21:59:52
a,,445034,22:09:51
b,,253156,22:09:51
焉栩嘉,,331192,22:09:51
